rank,smiles,mixture_cn,cn_error,cn_score,ysi,chemical_valid,chemical_flags,ood_warning,confidence_score,mixture_dcn,blend_ratio,ad_score,in_domain,mixture_ysi,mixture_bp,mixture_density
34,CCCCCCC(CCCCCC)CCCCC(C)CCC,75.95321100502493,1.0467889949750742,75.95321100502493,122.02279501389904,True,OK,False,100.0,75.95321100502493,0.4,0.05280815322826371,True,122.02279501389904,297.24147839760997,796.9594788457696
35,CCCCCCCCCOCCCCCC,78.0534534220769,1.053453422076899,78.0534534220769,103.88312877754097,True,OK,False,100.0,78.0534534220769,0.4,0.12837894144466888,True,103.88312877754097,256.70014436092083,792.6907198023192
36,CCCCCCCC(CCCCCC)CCCCC(C)CCCC,78.13069330665863,1.1306933066586282,78.13069330665863,125.43274231028738,True,OK,False,100.0,78.13069330665863,0.4,0.036354598483251954,True,125.43274231028738,310.55992664859855,796.2942964806533
37,CC=CCCCCCC(CCCCCC)CCCCCCC=CCCCC,75.85455765147368,1.1454423485263163,75.85455765147368,127.74258951379409,True,OK,False,100.0,75.85455765147368,0.4,0.02751797972865566,True,127.74258951379409,328.38340749359986,795.4546983085471
38,CCC(C)CCCCCCCCCCCCCCC(C)CC,78.17066530291841,1.1706653029184082,78.17066530291841,123.04055170468337,True,OK,False,100.0,78.17066530291841,0.4,0.07106058111108593,True,123.04055170468337,297.2416676263181,797.707378403024
39,CCCCC=CCCCCCCC(CCCCCCCC)CCCC(C)CC,78.26032523858625,1.2603252385862476,78.26032523858625,127.97619134159704,True,OK,False,100.0,78.26032523858625,0.4,0.03214287709801267,True,127.97619134159704,335.8678132404116,794.6460856951686
40,CCCCCCCCC(CCCCCC)CCCC(C)CCCC,78.35541343097648,1.3554134309764834,78.35541343097648,125.43274231028738,True,OK,False,100.0,78.35541343097648,0.4,0.03670278041553632,True,125.43274231028738,310.55992664859855,796.2942964806533
41,CCCCC=CCCCC(C)CCCC(CCCCCC)CCCCCC,75.6153258445365,1.3846741554635003,75.6153258445365,127.59337451992221,True,OK,False,100.0,75.6153258445365,0.4,0.04906793638216689,True,127.59337451992221,329.3506561048091,795.0100664572325
42,CCCCC=CCCCCCCCCC(CCCCCC)CCCC(C)CC,78.45188760613759,1.4518876061375892,78.45188760613759,127.97619134159704,True,OK,False,100.0,78.45188760613759,0.4,0.03179169881794153,True,127.97619134159704,335.8678132404116,794.6460856951686
43,CCC(C)CCCCOCCCCCCCCC(CC)CC,78.4607706235669,1.4607706235669013,78.4607706235669,119.7806668448319,True,OK,False,100.0,78.4607706235669,0.4,0.08302017227722602,True,119.7806668448319,298.24492904653346,789.3827195158838
44,CCC(C)CCCCCCCCCCCCCCC(CC)CC,78.48855462065046,1.4885546206504614,78.48855462065046,124.7572798291277,True,OK,False,100.0,78.48855462065046,0.4,0.060615980802903424,True,124.7572798291277,303.92029151882844,796.6513519774007
45,CCC(C)CCCCCCCCCCCCC(CC)CC,75.4918745800694,1.5081254199305931,75.4918745800694,118.84656193600318,True,OK,False,100.0,75.4918745800694,0.4,0.08777467204184997,True,118.84656193600318,290.52186655206185,797.4554909729333
46,CCCCCCCCCCCCCCCC,75.2454389677054,1.7545610322946033,75.2454389677054,106.9336410037244,True,OK,False,100.0,75.2454389677054,0.4,0.10818042466681455,True,106.9336410037244,256.2261686308851,799.80470592696
47,C=C(C)CCCC=CCCCCCCC(CCCCCC)CCCCCC,75.2142961950231,1.7857038049769045,75.2142961950231,127.84043213462165,True,OK,False,100.0,75.2142961950231,0.4,0.02898739715729093,True,127.84043213462165,328.4284605712852,794.8167488415685
48,CCCCCOCCCCC,75.091165935698,1.908834064301999,75.091165935698,87.02712056187741,True,OK,False,100.0,75.091165935698,0.4,0.2054617526203414,True,87.02712056187741,220.4453484591818,794.3976231964323
49,CCC(C)CCCCCCCCCCCCC(C)CC,75.04876970016747,1.951230299832531,75.04876970016747,115.24690888230417,True,OK,False,100.0,75.04876970016747,0.4,0.10111732028409981,True,115.24690888230417,283.7652095353819,798.1006394652654
50,CCCCCCCCCCCCCCC(C)CC,74.98387743834846,2.0161225616515424,74.98387743834846,110.41231601376633,True,OK,False,100.0,74.98387743834846,0.4,0.10985310121357261,True,110.41231601376633,270.0926029750882,798.7615664194338
51,CCCCCCCOCCCCC,74.76569766195145,2.2343023380485505,74.76569766195145,91.74761129320851,True,OK,False,100.0,74.76569766195145,0.4,0.18123474722935984,True,91.74761129320851,235.04229080510447,792.5042947206804
