Name,mixture_components,fuel_type,ignition_delay_CAD,fuel_1,fraction_fuel_1,fuel_2,fraction_fuel_2,fuel_3,fraction_fuel_3,fuel_4,fraction_fuel_4,fuel_5,fraction_fuel_5,fuel_6,fraction_fuel_6,fuel_7,fraction_fuel_7,fuel_8,fraction_fuel_8,fuel_9,fraction_fuel_9,fuel_10,fraction_fuel_10,fuel_11,fraction_fuel_11,CN_Measured,CN_Regression,YSI_Unified_Measured,YSI_Unified_Regression,fuel_type_smiles,fuel_1_smiles,fuel_2_smiles,fuel_3_smiles,fuel_4_smiles,fuel_5_smiles,fuel_6_smiles,fuel_7_smiles,fuel_8_smiles,fuel_9_smiles,fuel_10_smiles,fuel_11_smiles
SCG B20,"SCG B100: 20, RFD: 80",B20 Biodiesel,4.4,C16:0,0.06838,C18:0,0.01584,C18:1,0.01858,C18:2,0.0872,C18:3n6,0.00562,C18:3n3,0.00226,unknown,0.00212,toluene,0.24,n-heptane,0.56,,,,,,,,,,CCCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCCCCC(=O)O,CCCCCCCCC=CCCCCCCCC(=O)O,CCCCCC=CCC=CCCCCCCCC(=O)O,,,,CC1=CC=CC=C1,CCCCCCC,,
Rapeseed B100,"C16:0: 4.80, C18:0: 1.78, C18:1: 61.24, C18:2: 21.52, C18:3n3: 7.82, C20:1: 1.25, unknown: 1.59",B100 Biodiesel,3.6,C16:0,0.048,C18:0,0.0178,C18:1,0.6124,C18:2,0.2152,C18:3n3,0.0782,C20:1,0.0125,unknown,0.0159,,,,,,,,,,,,,,CCCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCCCCC(=O)O,CCCCCCCCC=CCCCCCCCC(=O)O,CCCCCC=CCC=CCCCCCCCC(=O)O,,,,,,,
Rapeseed B7,"Rapeseed B100: 7, RFD: 93",B7 Biodiesel,4.4,C16:0,0.00336,C18:0,0.001246,C18:1,0.042868,C18:2,0.015064,C18:3n3,0.005474,C20:1,0.000875,unknown,0.001113,toluene,0.279,n-heptane,0.651,,,,,,,,,,CCCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCCCCC(=O)O,CCCCCCCCC=CCCCCCCCC(=O)O,CCCCCC=CCC=CCCCCCCCC(=O)O,,,,CC1=CC=CC=C1,CCCCCCC,,
Rapeseed B20,"Rapeseed B100: 20, RFD: 80",B20 Biodiesel,4.2,C16:0,0.0096,C18:0,0.00356,C18:1,0.12248,C18:2,0.04304,C18:3n3,0.01564,C20:1,0.0025,unknown,0.00318,toluene,0.24,n-heptane,0.56,,,,,,,,,,CCCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCCCCC(=O)O,CCCCCCCCC=CCCCCCCCC(=O)O,CCCCCC=CCC=CCCCCCCCC(=O)O,,,,CC1=CC=CC=C1,CCCCCCC,,
Soya B100,"C16:0: 10.32, C18:0: 4.36, C18:1:  26.80, C18:2: 50.69, C18:3n3: 6.75, unknown: 1.08",B100 Biodiesel,4.2,C16:0,0.1032,C18:0,0.0436,C18:1,0.268,C18:2,0.5069,C18:3n3,0.0675,unknown,0.0108,,,,,,,,,,,,,,,,CCCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCCCCC(=O)O,CCCCCCCCC=CCCCCCCCC(=O)O,CCCCCC=CCC=CCCCCCCCC(=O)O,,,,,,,
Soya B7,"Soya B100: 7, RFD: 93",B7 Biodiesel,4.6,C16:0,0.007224,C18:0,0.003052,C18:1,0.01876,C18:2,0.035483,C18:3n3,0.004725,unknown,0.000756,toluene,0.279,n-heptane,0.651,,,,,,,,,,,,CCCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCCCCC(=O)O,CCCCCCCCC=CCCCCCCCC(=O)O,CCCCCC=CCC=CCCCCCCCC(=O)O,,,CC1=CC=CC=C1,CCCCCCC,,,
Soya B20,"Soya B100: 20, RFD: 80",B20 Biodiesel,4.4,C16:0,0.02064,C18:0,0.00872,C18:1,0.0536,C18:2,0.10138,C18:3n3,0.0135,unknown,0.00216,toluene,0.24,n-heptane,0.56,,,,,,,,,,,,CCCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCCCCC(=O)O,CCCCCCCCC=CCCCCCCCC(=O)O,CCCCCC=CCC=CCCCCCCCC(=O)O,,,CC1=CC=CC=C1,CCCCCCC,,,
Algal,"C16:0 : 51, C18:0 : 2, C18:1 : 39, C18:2 : 7, other : 1",Other (SVO),6.9,C16:0,0.51,C18:0,0.02,C18:1,0.39,C18:2,0.07,other,0.01,,,,,,,,,,,,,,,,,,CCCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCCCCC(=O)O,CCCCCCCCC=CCCCCCCCC(=O)O,CCCCCC=CCC=CCCCCCCCC(=O)O,,,,,,,
Corn,"C16:0 : 0, C16:1 : 0, C18:0 :0, C18:1:0, C18:2:0, C18:4:0, other:0",Other (SVO),7.7,C16:0,0,C16:1,0,C18:0,0,C18:1,0,C18:2,0,C18:4,0,other,0,,,,,,,,,,,,,,CCCCCCCCCCCCCCCC(=O)O,,CCCCCCCCCCCCCCCCCC(=O)O,CCCCCCCCC=CCCCCCCCC(=O)O,CCCCCC=CCC=CCCCCCCCC(=O)O,,,,,,
Groundnut,"C16:0:0, C16:1:0, C18:0:0, C18:1:0, C18:2:0, C18:5:0",Other (SVO),7.1,C16:0,0,C16:1,0,C18:0,0,C18:1,0,C18:2,0,C18:5,0,,,,,,,,,,,,,,,,CCCCCCCCCCCCCCCC(=O)O,,CCCCCCCCCCCCCCCCCC(=O)O,CCCCCCCCC=CCCCCCCCC(=O)O,CCCCCC=CCC=CCCCCCCCC(=O)O,,,,,,
